bunker,t_offset,t_mat_hub,n_Huebe_pro_Ballen,t_Hub_vor,t_Hub_zurück,t_WZ_zw_Hueben_pro_Ballen,t_Abbinden
C1-2,1.78,0.27,15.0,0.157,0.069,0.215,0.54
C1-3,1.59,0.41,5.5,0.182,0.076,0.129,0.54
C1-4,2.06,1.03,6.5,0.305,0.118,1.319,0.54
C1-6,1.1,0.76,7.0,0.167,0.069,0.207,0.575
C1-7,0.94,0.31,7.5,0.172,0.074,0.147,0.57
C1-8,0.9,0.33,7.5,0.168,0.076,0.229,0.55
C2-2,1.74,0.41,13.0,0.287,0.118,2.02,0.575
C2-5,1.26,0.32,4.667,0.204,0.104,0.19,0.54
C2-7,1.17,0.4,6.0,0.181,0.076,0.869,0.54
C2-8,0.97,0.41,12.0,0.164,0.069,0.16,0.54
